tool,interval,num_correct,num_unidentified,num_incorrect
MS-Cluster,2–5,1164,47,4
MS-Cluster,5–20,1238,78,0
MS-Cluster,20–100,1865,59,0
MS-Cluster,100–500,2248,14,0
MS-Cluster,500–5000,6052,38,0
MS-Cluster,5000+,0,0,0
MaRaCluster,2–5,3487,138,3
MaRaCluster,5–20,5307,89,8
MaRaCluster,20–100,5048,74,0
MaRaCluster,100–500,1632,5,0
MaRaCluster,500–5000,0,0,0
MaRaCluster,5000+,0,0,0
falcon,2–5,465,48,2
falcon,5–20,287,65,0
falcon,20–100,147,159,0
falcon,100–500,184,228,0
falcon,500–5000,3869,41,0
falcon,5000+,10725,174,0
msCRUSH,2–5,296,50,3
msCRUSH,5–20,291,89,10
msCRUSH,20–100,258,101,9
msCRUSH,100–500,415,88,0
msCRUSH,500–5000,0,0,0
msCRUSH,5000+,12357,145,3
spectra-cluster,2–5,2125,51,4
spectra-cluster,5–20,6146,99,5
spectra-cluster,20–100,6730,62,0
spectra-cluster,100–500,121,0,0
spectra-cluster,500–5000,0,0,0
spectra-cluster,5000+,0,0,0
